index,year,variable,annual_mean,long_term_mean,anomaly
4,1993,SM,1.007373610782349,1.3823663029014892,-0.3749926921191402
4,1993,Qg,0.005058811722069572,0.011175554349927631,-0.006116742627858059
4,1993,Q0,0,0,0
4,1993,Q1,0,0.001809865064587479,-0.001809865064587479
4,1993,Q2,0.005058811722069572,0.009365689285340177,-0.004306877563270604
4,1993,STZ,0.0011423634325242952,0.011644484818362779,-0.010502121385838484
4,1993,SUZ,0.0011423634325242954,0.022763086184295175,-0.02162072275177088
4,1993,SLZ,0.685539744920546,1.2691818941722803,-0.5836421492517343
4,1993,q_sim,0.0037808219178082094,0.010409413912250287,-0.006628591994442077
4,1993,WB,0.001557509392211596,0.005127189727377424,-0.003569680335165828
4,1994,Prain,0.5249463990198259,0.22842167810797823,0.2965247209118477
4,1994,Psnow,0,0,0
4,1994,SWE,0,0,0
4,1994,Msnow,0,0,0
4,1994,Total,0.5249463990198259,0.22842167810797823,0.2965247209118477
4,1994,Rech,0.03612382315621805,0.011644484818362779,0.024479338337855275
4,1994,Eac,0.4828962416970506,0.2232944883805993,0.2596017533164513
4,1994,SM,3.0331607893703714,1.3823663029014892,1.6507944864688822
4,1994,Qg,0.024977321479666484,0.011175554349927631,0.013801767129738853
4,1994,Q0,0,0,0
4,1994,Q1,0.001972960024377968,0.001809865064587479,1.6309495979048919e-4
4,1994,Q2,0.023004361455288502,0.009365689285340177,0.013638672169948325
4,1994,STZ,0.03612382315621805,0.011644484818362779,0.024479338337855275
4,1994,SUZ,0.04584610435902758,0.022763086184295175,0.023083018174732402
4,1994,SLZ,3.117412734559494,1.2691818941722803,1.8482308403872136
4,1994,q_sim,0.02399999999999997,0.010409413912250287,0.013590586087749683
4,1994,WB,0.042050157322774936,0.005127189727377424,0.03692296759539751
4,1995,Prain,0.1988501136383708,0.22842167810797823,-0.02957156446960743
4,1995,Psnow,0,0,0
4,1995,SWE,0,0,0
4,1995,Msnow,0,0,0
4,1995,Total,0.1988501136383708,0.22842167810797823,-0.02957156446960743
4,1995,Rech,0.00851356579608178,0.011644484818362779,-0.0031309190222809993
4,1995,Eac,0.19619561433181712,0.2232944883805993,-0.027098874048782168
4,1995,SM,1.2977537073385983,1.3823663029014892,-0.08461259556289091
4,1995,Qg,0.017373568811654957,0.011175554349927631,0.0061980144617273265
4,1995,Q0,0,0,0
4,1995,Q1,1.6335241244763243e-4,0.001809865064587479,-0.0016465126521398466
4,1995,Q2,0.017210216399207327,0.009365689285340177,0.00784452711386715
4,1995,STZ,0.00851356579608178,0.011644484818362779,-0.0031309190222809993
4,1995,SUZ,0.009410455294413663,0.022763086184295175,-0.013352630889881511
4,1995,SLZ,2.332225037921214,1.2691818941722803,1.0630431437489336
4,1995,q_sim,0.017260273972602748,0.010409413912250287,0.006850860060352461
4,1995,WB,0.002654499306553898,0.005127189727377424,-0.002472690420823526
4,1996,Prain,0.07721022730495083,0.22842167810797823,-0.1512114508030274
4,1996,Psnow,0,0,0
4,1996,SWE,0,0,0
4,1996,Msnow,0,0,0
4,1996,Total,0.07721022730495083,0.22842167810797823,-0.1512114508030274
4,1996,Rech,3.1767990171431787e-4,0.011644484818362779,-0.011326804916648461
4,1996,Eac,0.07594382713656614,0.2232944883805993,-0.14735066124403315
4,1996,SM,0.46431874121054606,1.3823663029014892,-0.9180475616909431
4,1996,Qg,0.003312483080199641,0.011175554349927631,-0.00786307126972799
4,1996,Q0,0,0,0
4,1996,Q1,0,0.001809865064587479,-0.001809865064587479
4,1996,Q2,0.003312483080199641,0.009365689285340177,-0.006053206205140536
4,1996,STZ,3.1767990171431787e-4,0.011644484818362779,-0.011326804916648461
4,1996,SUZ,3.176799017143179e-4,0.022763086184295175,-0.022445406282580856
4,1996,SLZ,0.4488877884003718,1.2691818941722803,-0.8202941057719085
4,1996,q_sim,0.002240437158469938,0.010409413912250287,-0.008168976753780349
4,1996,WB,0.0012664001683847133,0.005127189727377424,-0.0038607895589927105
